scheme,scale,status,exit_code,exception,elapsed_ms,dimension,level,num_terms,num_points,mode,storage_bytes,init_ms,weights_head
none,1.0,failed,1,"numpy._core._exceptions._ArrayMemoryError: Unable to allocate 2.01 EiB for an array with shape (46252743903616536, 50) and data type uint8",,50,20,,,,,,
log2,1.0,ok,0,,39718.22850499302,50,20,629650,307490398,batched,903325024,39718.22850499302,"[1, 2, 2, 3, 3, 3, 3, 4, 4, 4]"
log2,1.5,ok,0,,1145.7000540103763,50,20,14580,790700,indexed,105940912,1145.7000540103763,"[2, 3, 3, 4, 4, 5, 5, 5, 5, 6]"
log2,2.0,ok,0,,491.74113300978206,50,20,2201,67691,points,30733608,491.74113300978206,"[2, 4, 4, 5, 6, 6, 6, 7, 7, 7]"
sqrt,1.0,ok,0,,40789.63768100948,50,20,665168,461365128,batched,953334368,40789.63768100948,"[1, 2, 2, 2, 3, 3, 3, 3, 3, 4]"
sqrt,1.5,ok,0,,1119.6252839872614,50,20,16358,1203456,indexed,153021984,1119.6252839872614,"[2, 3, 3, 3, 4, 4, 4, 5, 5, 5]"
sqrt,2.0,ok,0,,558.7111820059363,50,20,3006,140714,points,61660432,558.7111820059363,"[2, 3, 4, 4, 5, 5, 6, 6, 6, 7]"
linear,1.0,ok,0,,1519.4370629906189,50,20,2087,5238345,batched,19716320,1519.4370629906189,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
linear,1.25,ok,0,,110.6736549991183,50,20,366,22706,points,9796048,110.6736549991183,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 13]"
linear,1.5,ok,0,,108.79565399955027,50,20,225,13235,points,5733352,108.79565399955027,"[2, 3, 5, 6, 8, 9, 11, 12, 14, 15]"
linear,2.0,ok,0,,3026.562011014903,50,20,97,4373,points,1937432,3026.562011014903,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
linear,3.0,ok,0,,156.47677099332213,50,20,30,438,points,223184,156.47677099332213,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
